measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,prevalence,1,global,3,all,22,all,547,Migraine,3,Rate,2020,14651.80457441306,16835.018990395838,12583.717368213229
5,prevalence,1,global,3,all,22,all,547,Migraine,1,Number,2021,1158432823.8189986,1331312506.1266084,995861966.382874
5,prevalence,1,global,3,all,22,all,547,Migraine,2,Percent,2021,0.1519099031391934,0.1747297870922,0.1304773387660258
5,prevalence,1,global,3,all,22,all,547,Migraine,3,Rate,2021,14679.77392053287,16870.52214481297,12619.6601321805
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,1,Number,2015,34664163.751742244,41522859.582032114,28872897.347726528
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,2,Percent,2015,0.0048530403928713,0.0057969984516706,0.0040468065365318
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,3,Rate,2015,468.66194068016,561.3919924240801,390.36361012357
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,1,Number,2016,35140815.5995236,42064076.045414254,29302798.75367564
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,2,Percent,2016,0.0048617478610022,0.0058033782109264,0.0040544790663017
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,3,Rate,2016,469.382085,561.85729842424,391.40266212512995
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,1,Number,2017,35615486.37352595,42609006.130384766,29727995.43938276
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,2,Percent,2017,0.0048703288317375,0.0058132361134188,0.0040619642646369
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,3,Rate,2017,470.1370085,562.45394113711,392.42004720366
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,1,Number,2018,36091686.86581291,43179466.02772193,30141203.885562547
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,2,Percent,2018,0.0048798752090696,0.0058242470306782,0.0040719055958688
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,3,Rate,2018,471.0461924,563.55146655589,393.38419892834
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,1,Number,2019,36568739.84488388,43750983.65286981,30551964.72573787
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,2,Percent,2019,0.0048907593708173,0.0058369438809756,0.0040828315304979
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,3,Rate,2019,472.13930291136006,564.8693121822799,394.45666953165
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,1,Number,2020,37033171.34796816,44305704.69562197,30950795.1650982
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,2,Percent,2020,0.0049005568956378,0.0058485840413408,0.0040927945533969
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,3,Rate,2020,473.42686723006005,566.39791330265,395.67062338818
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,1,Number,2021,37469253.05615445,44824637.94184126,31321119.47879684
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,2,Percent,2021,0.0049135292904249,0.0058630027940645,0.0041044412719492
5,prevalence,1,global,3,all,22,all,570,Bipolar disorder,3,Rate,2021,474.81403541576,568.0221912969399,396.90428606033004
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,1,Number,2015,58078997.69051229,68624624.1217196,48983544.04648955
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,2,Percent,2015,0.0081311610471018,0.0096117779793111,0.0068540204030624
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,3,Rate,2015,785.23214825934,927.80976196823,662.26097299307
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,1,Number,2016,58760780.16768666,69440368.6870462,49551489.98293171
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,2,Percent,2016,0.0081295883355235,0.009611378535091,0.0068515762028199
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,3,Rate,2016,784.87812647239,927.52727790725,661.86800976319
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,1,Number,2017,59436907.20463329,70249016.23164968,50113932.72425956
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,2,Percent,2017,0.00812785896998,0.0096106502128579,0.0068488785089858
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,3,Rate,2017,784.58818316363,927.31184387612,661.52162480362
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,1,Number,2018,60094322.897641525,71030038.84324113,50661264.39487855
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,2,Percent,2018,0.0081252307161204,0.0096079471726901,0.0068453334957469
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,3,Rate,2018,784.31363136604,927.03977705355,661.19923365842
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,1,Number,2019,60717999.10620572,71768079.71976247,51180701.35116056
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,2,Percent,2019,0.0081205355431166,0.0096022502012555,0.0068399294701905
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,3,Rate,2019,783.9305891801899,926.5982714719199,660.79445889991
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,1,Number,2020,61323837.22486585,72262839.99331546,51740181.12723373
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,2,Percent,2020,0.0081149355235126,0.0095655460360918,0.006836860476531
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,3,Rate,2020,783.95533212922,923.7980089182901,661.439217
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,1,Number,2021,61823539.64212848,72711237.69220328,52067672.515298985
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,2,Percent,2021,0.0081072490646485,0.0095368510096157,0.0068269477326982
5,prevalence,1,global,3,all,22,all,575,Autism spectrum disorder,3,Rate,2021,783.4339344094301,921.4039078112701,659.8066330450899
5,prevalence,1,global,3,all,22,all,545,Epilepsy,1,Number,2015,22264948.55226463,27702374.835598312,16986179.27649492
5,prevalence,1,global,3,all,22,all,545,Epilepsy,2,Percent,2015,0.0031171708634798,0.0038773673870052,0.0023766586523665
5,prevalence,1,global,3,all,22,all,545,Epilepsy,3,Rate,2015,301.02367598941,374.53806313871,229.65434278111002
5,prevalence,1,global,3,all,22,all,545,Epilepsy,1,Number,2016,22496335.79793511,27828131.62060015,17301772.639306486
